,filepath,xmin,xmax,ymin,ymax
0,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N1.xml,1093,1396,645,727
1,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N100.xml,134,301,312,350
2,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N101.xml,31,139,128,161
3,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N102.xml,164,316,216,243
4,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N103.xml,813,1067,665,724
5,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N104.xml,66,154,166,197
6,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N105.xml,360,434,174,195
7,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N106.xml,137,262,249,290
8,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N107.xml,207,356,174,287
9,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N108.xml,184,342,220,257
10,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N109.xml,148,239,250,320
11,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N11.xml,131,187,130,144
12,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N110.xml,183,249,211,227
13,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N111.xml,80,239,364,402
14,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N112.xml,179,347,256,290
15,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N113.xml,39,108,129,157
16,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N114.xml,15,200,33,126
17,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N116.xml,157,316,226,278
18,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N117.xml,120,249,161,202
19,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N118.xml,532,852,636,706
20,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N119.xml,180,559,216,314
21,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N12.xml,976,1284,669,754
22,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N120.xml,647,736,332,387
23,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N121.xml,311,506,324,370
24,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N122.xml,342,494,243,288
25,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N123.xml,11,246,78,165
26,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N124.xml,165,328,276,324
27,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N126.xml,149,399,269,327
28,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N127.xml,24,142,209,245
29,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N128.xml,58,221,198,271
30,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N129.xml,301,504,351,402
31,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N130.xml,419,513,173,213
32,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N131.xml,198,349,107,143
33,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N132.xml,111,320,133,286
34,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N133.xml,795,1095,751,840
35,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N134.xml,230,365,188,219
36,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N135.xml,157,341,197,247
37,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N136.xml,787,910,473,513
38,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N137.xml,401,593,456,493
39,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N138.xml,36,465,64,168
40,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N139.xml,341,607,954,1011
41,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N14.xml,1058,1351,660,756
42,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N140.xml,346,423,197,221
43,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N141.xml,150,348,255,296
44,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N142.xml,66,174,234,259
45,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N143.xml,115,524,144,296
46,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N144.xml,39,177,201,275
47,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N145.xml,233,432,88,151
48,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N147.xml,424,613,548,591
49,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N148.xml,244,369,240,293
50,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N149.xml,186,324,116,148
51,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N15.xml,582,853,622,691
52,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N150.xml,172,372,97,143
53,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N151.xml,144,277,216,252
54,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N152.xml,265,725,247,347
55,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N153.xml,133,279,352,385
56,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N154.xml,106,245,157,196
57,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N155.xml,145,313,167,201
58,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N156.xml,49,106,230,249
59,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N158.xml,122,224,268,292
60,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N16.xml,887,1173,625,696
61,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N160.xml,153,251,196,217
62,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N162.xml,147,336,169,209
63,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N163.xml,230,316,203,231
64,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N164.xml,248,421,121,174
65,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N165.xml,186,374,290,335
66,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N166.xml,809,1034,246,295
67,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N167.xml,345,848,242,416
68,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N168.xml,271,474,514,561
69,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N169.xml,167,413,208,263
70,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N17.xml,88,216,507,556
71,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N170.xml,299,442,337,386
72,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N171.xml,13,444,137,270
73,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N172.xml,147,370,133,184
74,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N173.xml,80,335,150,243
75,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N174.xml,315,665,442,531
76,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N175.xml,183,250,205,229
77,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N176.xml,195,383,320,358
78,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N177.xml,331,538,263,317
79,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N178.xml,210,335,289,351
80,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N179.xml,203,297,217,240
81,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N18.xml,373,528,366,408
82,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N181.xml,361,499,381,432
83,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N183.xml,216,343,155,190
84,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N184.xml,229,1391,204,660
85,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N185.xml,321,559,420,484
86,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N186.xml,464,561,286,344
87,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N187.xml,572,839,461,535
88,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N188.xml,587,711,760,832
89,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N189.xml,178,381,121,181
90,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N19.xml,99,216,367,423
91,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N190.xml,896,1558,814,969
92,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N191.xml,317,568,319,397
93,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N192.xml,543,769,390,461
94,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N193.xml,274,502,2,59
95,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N195.xml,186,367,137,232
96,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N196.xml,119,220,84,111
97,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N197.xml,120,184,103,130
98,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N198.xml,214,335,138,169
99,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N199.xml,45,112,206,255
100,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N2.xml,1804,2493,1734,1882
101,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N20.xml,498,796,729,814
102,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N200.xml,196,442,227,293
103,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N201.xml,157,290,193,229
104,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N202.xml,157,329,260,296
105,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N203.xml,765,1258,821,905
106,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N204.xml,94,206,307,334
107,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N205.xml,322,479,169,203
108,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N206.xml,121,215,120,147
109,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N207.xml,213,339,280,307
110,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N208.xml,199,274,203,221
111,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N209.xml,145,319,200,244
112,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N21.xml,244,403,221,258
113,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N210.xml,143,337,210,254
114,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N211.xml,74,160,149,175
115,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N212.xml,159,353,115,173
116,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N213.xml,131,209,129,153
117,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N214.xml,167,277,189,226
118,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N215.xml,85,258,390,446
119,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N216.xml,322,682,300,371
120,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N217.xml,404,585,429,468
121,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N218.xml,176,301,212,238
122,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N219.xml,1,300,92,154
123,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N22.xml,493,858,885,967
124,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N220.xml,182,349,238,273
125,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N221.xml,104,209,153,182
126,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N222.xml,127,183,122,156
127,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N223.xml,69,585,79,183
128,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N224.xml,164,272,223,247
129,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N225.xml,775,1142,965,1101
130,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N226.xml,142,343,253,304
131,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N227.xml,626,768,280,359
132,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N229.xml,358,1031,294,540
133,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N23.xml,107,201,264,288
134,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N230.xml,271,484,332,384
135,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N231.xml,581,700,273,319
136,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N232.xml,286,451,216,258
137,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N233.xml,99,223,20,50
138,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N234.xml,224,307,158,183
139,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N235.xml,44,656,128,391
140,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N236.xml,313,380,111,141
141,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N237.xml,121,243,163,198
142,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N238.xml,165,341,129,170
143,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N239.xml,106,263,238,276
144,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N24.xml,151,280,193,224
145,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N240.xml,164,285,99,137
146,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N241.xml,251,542,308,385
147,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N242.xml,202,386,190,227
148,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N244.xml,335,452,313,343
149,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N245.xml,192,364,279,319
150,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N246.xml,23,160,261,321
151,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N247.xml,641,886,518,578
152,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N248.xml,288,429,248,281
153,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N25.xml,132,235,169,193
154,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N27.xml,696,1061,546,677
155,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N28.xml,738,1009,654,722
156,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N3.xml,73,260,381,462
157,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N30.xml,928,1219,543,606
158,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N31.xml,256,381,233,261
159,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N32.xml,360,500,171,206
160,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N33.xml,856,1218,665,751
161,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N34.xml,576,902,487,596
162,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N35.xml,97,229,338,378
163,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N36.xml,392,517,161,213
164,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N37.xml,77,200,231,290
165,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N38.xml,397,645,590,641
166,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N4.xml,1326,1830,1464,1607
167,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N40.xml,328,580,208,254
168,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N42.xml,163,373,253,327
169,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N43.xml,142,298,281,327
170,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N44.xml,113,257,282,322
171,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N45.xml,107,256,147,180
172,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N46.xml,454,797,109,234
173,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N47.xml,161,313,212,259
174,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N48.xml,156,335,259,303
175,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N49.xml,196,352,135,173
176,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N5.xml,938,1173,709,762
177,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N50.xml,101,397,223,291
178,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N51.xml,383,491,212,248
179,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N52.xml,234,422,254,294
180,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N53.xml,217,428,147,188
181,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N54.xml,189,299,162,188
182,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N56.xml,302,486,265,303
183,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N57.xml,211,406,161,202
184,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N58.xml,221,430,190,231
185,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N59.xml,1238,2468,1012,1269
186,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N6.xml,858,1122,611,676
187,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N61.xml,158,350,252,297
188,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N62.xml,289,421,188,232
189,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N63.xml,297,422,174,218
190,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N64.xml,19,94,249,314
191,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N65.xml,1024,1273,611,680
192,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N66.xml,163,320,247,280
193,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N67.xml,164,336,162,195
194,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N68.xml,319,479,262,295
195,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N69.xml,637,840,464,549
196,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N7.xml,1149,1358,649,702
197,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N70.xml,186,395,376,430
198,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N72.xml,186,325,177,212
199,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N73.xml,124,209,102,130
200,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N74.xml,161,366,210,250
201,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N75.xml,466,740,680,737
202,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N77.xml,361,566,190,297
203,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N78.xml,146,302,160,196
204,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N79.xml,113,277,288,347
205,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N8.xml,788,1525,1675,1851
206,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N80.xml,248,372,116,144
207,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N81.xml,66,174,302,332
208,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N82.xml,456,651,722,778
209,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N84.xml,235,349,319,352
210,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N85.xml,163,302,357,427
211,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N86.xml,448,638,273,338
212,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N88.xml,208,370,89,173
213,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N89.xml,150,378,217,269
214,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N9.xml,142,441,55,167
215,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N90.xml,53,185,206,232
216,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N91.xml,239,347,187,211
217,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N92.xml,113,420,209,260
218,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N93.xml,385,746,293,434
219,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N94.xml,63,243,234,274
220,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N95.xml,23,408,173,391
221,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N96.xml,137,352,141,186
222,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N97.xml,175,290,228,255
223,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N98.xml,563,675,207,238
224,C:\Users\pc\Downloads\Project_Files\1_Labeling\images\N99.xml,158,389,129,193
